人物,開場白,出牌相同時對白,被克制時對白,克制對方時對白,標籤
亞歷山大大帝,世界是我的棋盤，而你只是下一顆被擺平的棋子！,果然是個不錯的對手，但勝者只能有一個！,逆境才是強者的舞台，準備好迎接反擊了嗎？,你的招數，早就在我的掌控之中。,攻擊
成吉思汗,天空之下，唯有我無可阻擋。,相同的力量，卻只有我的能征服一切！,再強的風暴，也無法摧毀草原的意志。,臣服吧，這是命運的選擇。,攻擊
拿破崙·波拿巴,戰爭的勝負，早已在我的計算中。,看來你也懂得戰略，但棋局終究由我掌控。,就算局勢不利，我仍能逆轉乾坤！,每一步都計算精確，你注定無法抵擋。,準備
孫子（孫武）,知己知彼，百戰不殆。我是否該告訴你，你已輸了一半？,雙方平衡？那是因為我允許如此。,千萬別因一時勝利而得意，真正的對決才剛開始。,你的破綻，早已在我的謀略中無所遁形。,準備
愛因斯坦,即便是混沌，也有其規律。而我剛好掌握了它。,看來我們的智慧旗鼓相當，但結局可不會如此簡單。,一時的失利也是科學進步的一部分。,在這場對決中，邏輯才是最強的武器。,防守
拿破崙三世,要我投降？試著進攻看看。,勢均力敵的感覺真是令人興奮！,別得意，最後的勝利一定屬於我。,你的策略太淺薄，怎能與我抗衡？,防守
女皇武則天,無人能預見的局，我早已謀定而後動。,平分秋色？那只是我的隱忍之計。,無論如何，我都會找到扭轉局勢的方法。,權謀的巔峰，總是由我來書寫。,準備
恰克·諾里斯,別擔心，這場對決你不會痛，因為你沒機會反應過來。,你竟敢模仿我？但只有一個恰克·諾里斯！,我的強大，不會被任何劣勢所動搖。,別掙扎了，這是不可抗拒的力量。,攻擊
凱撒大帝,我來，我見，我征服。而你，只是障礙。,看來我們旗鼓相當，但我將是那個超越者。,即使如此，我仍將帶領我的軍隊前行！,你已經被包圍了，投降吧！,攻擊
林肯（Abraham Lincoln）,自由是我的武器，而你將在它面前瓦解。,相同的理念，卻由不同的信念支撐。,我的正義之路，絕不會因挫折而止步。,你的努力是徒勞的，正義將勝利！,防守
孔子,道之所在，吾必行之。,求同存異，勝負乃其次也。,逆境磨練君子，吾道不變。,你的選擇，早已偏離正道。,準備
莎士比亞,世事如戲，而我正是那命運的劇作家。,我們同一舞台，但主角只有一位。,悲劇也是一種美，別高興得太早。,劇本早已寫好，你注定敗北。,準備
達爾文,適者生存，而我正是那最適者。,競爭是進化的必然，但勝利屬於強者。,演化的過程中，偶爾失利也是自然。,你的策略，已被淘汰。,準備
特斯拉（Nikola Tesla）,智慧與電流，都是我的武器。,我們的創意相遇，但我的能量無限。,短暫的熄滅，為了更大的爆發。,你的計劃，像短路般崩潰了。,準備
貝多芬,音樂是我的戰歌，而你將聽見失敗的序曲。,和諧的對局，但勝負之聲即將響起。,再大的困難，也無法遮蔽我的旋律。,你的失誤，成了我的完美樂章。,準備
馬丁·路德·金,我有一個夢，而你只能成為我的踏腳石。,夢想可以相似，但行動決定一切。,一時的失敗，無法阻止正義的腳步。,你的選擇，與正義背道而馳。,準備
居里夫人,科學的光芒，足以擊退任何黑暗。,你的智慧不凡，但我的能量更持久。,科學的道路從不平坦，但我不會停下。,你的弱點，已被我的研究徹底揭露。,準備
甘地,非暴力是力量，而我的力量無限大。,平靜的對決，卻隱藏著無限的智慧。,我的信念，不會因挫折而動搖。,暴力的策略，永遠無法戰勝和平。,防守
李小龍,空手是武器，思想是利刃。,動作一致，但結果必然分出高下。,靈活的心智，總能找到出路。,你的節奏，已被我完全掌握。,準備
拿破崙·希爾,成功來自心念，而你將見證我的信念。,思想一致，但執行決定結果。,逆境只會讓我的信念更堅定。,你的想法，無法與我的力量匹敵。,準備
皮卡索,混亂中，我創造了無與倫比的藝術。,創意相同，但我的作品更具靈魂。,失利是一種靈感的來源。,你的策略，已成為我藝術的一部分。,準備
諾貝爾,炸藥改變了世界，而我的智慧改變了對局。,平等的力量，但結果將爆發出差異。,我的創新，從來不懼怕失敗。,你的策略，如同火花，終將熄滅。,準備
馬可·波羅,旅程的終點，將是你的失敗。,路線相同，但我的經驗更為豐富。,困難是旅途的一部分，但我總能找到方向。,你的策略，無法超越我的見識。,準備
亞里士多德,理性是我的武器，而你將無處可逃。,邏輯一致，但結果必然分出高低。,理性無懼挫折，真正的勝利尚未來臨。,你的謬誤，將是你的敗筆。,準備
凱瑟琳大帝,智慧與權力並存，我將決定你的命運。,同樣的智慧，但我的權謀更勝一籌。,真正的領袖，不會被逆境擊倒。,你的策略，完全落入我的掌握。,準備
喬治·華盛頓,自由的信念，將引領我走向勝利。,信念一致，但我的行動更加堅定。,自由從不輕易屈服，失敗只是暫時的。,你的行動，無法動搖我的信仰。,防守
尤里·加加林,在未知的領域中，我總是先行者。,冒險的選擇相同，但我的勇氣更大。,太空探索一樣充滿險阻，但我不會退縮。,你的計劃，無法與我的突破相比。,攻擊
瑪麗·安東尼,優雅與策略，是我對抗的方式。,選擇相同，但我的魅力更勝一籌。,挫折只會讓我的優雅更加耀眼。,你的失敗，彰顯了我的策略之美。,準備
尼采,超人哲學將碾碎你的懦弱。,我們都選擇了力量，但我是唯一的超人。,逆境是強者的養分，準備迎接新的我吧！,你的軟弱，證明了我的理論。,攻擊
莫扎特,我的音符，將擊敗你的沉默。,旋律相似，但我的和弦更加致命。,安靜只是為了準備一場更大的交響。,你的失誤，成了我的完美樂章。,準備
達芬奇,藝術與科學，是我戰鬥的雙刃劍。,策略相同，但我的創造力無窮無盡。,每一次失敗，都是一次新的靈感。,你的策略，無法逃過我的透視法則。,準備
梵高,瘋狂中蘊藏著無窮的力量。,我們的激情相同，但我的畫筆更犀利。,失敗只會點燃我內心更大的火焰。,你的平庸，成了我藝術的點綴。,攻擊
拿破崙·希爾,成功來自心念，而你將見證我的信念。,思想一致，但執行決定結果。,逆境只會讓我的信念更堅定。,你的想法，無法與我的力量匹敵。,防守
